"n_icer_TOTAL_6mo","n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_TOTAL_life","n_icer_HEALTH_SECTOR_6mo","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr","n_icer_HEALTH_SECTOR_life"
1232394.32030675,4047166.33456495,-312541.6310023,-140575.619180388,-53268.0750662957,-330415.44444969,-1183674.7549557,115823.751479107,59716.020625146,30254.7252162576
294101.588645081,470529.556023665,-3032107.0961461,-459293.476150432,-135917.446811146,-415853.536892994,-521818.487505582,2383780.57552919,354954.883164347,119454.611567824
18999216.4446746,4059534.81883709,639431.410350683,349749.255770932,185510.745591909,4165510.72759166,951230.031945244,159708.076561707,86366.134483144,43065.0005144539
-756334.128966781,-1096437.91348714,535052.18716835,237516.583471926,129879.873913201,-211443.5514334,-318884.15219547,162252.114091452,70072.6479207217,33703.8678678016
-439091.392830859,-468558.55144884,-7145724.03787453,479681.242438329,167546.818704953,-161597.152815776,-197075.816382855,-4319943.30966381,297029.565195267,89378.3318692837
-496797.7111118,-464576.72515401,-843616.478222273,1834503.30336595,242424.832001801,-98485.115882278,-106708.978823049,-256927.826418531,573122.603634501,67490.6679600614
-1214942.30669652,-1310350.20964084,941969.003061583,329498.499359927,163082.482546283,-345525.124445154,-402256.793502806,336673.809733631,116163.563976877,50854.6209633084
-28341.3044878291,-97256.1639364421,-102086.021543953,-63592.5253886156,-23154.7816157597,143226.630519895,108344.273690697,41043.1689262241,25822.293140494,15099.6196755426
-2564093.15685605,-8130576.50483234,555843.650318871,278316.864566836,147688.752606961,-608848.464612489,-2076760.94889944,143082.065371889,66441.8056695457,29937.7064434308
-360479.201626991,-312851.618641935,515333.073026183,69406.8637883413,36597.0818158267,-158513.782370943,-165059.582116617,563489.320108459,83805.5179165429,27406.6310996036
-3822.96359204432,37948.7637584017,737758.772792247,-201414.040385448,-22649.7986475484,-70604.5820014038,-85825.5126189108,-542367.470620229,162416.870657223,44536.9253716011
62880.3506965677,-63989.9232670852,-79369.4620517826,-38590.5088107192,-4625.78583665877,130836.366613089,96771.0079100942,33200.6512203787,21400.6568315191,12900.3985932625
-249507.462715063,-215989.89300425,-318832.610453568,668270.831431053,110639.560507372,-95071.2881170833,-101546.458465675,-243028.96922104,511463.654344982,67328.8775578721
-381453.631659126,-380349.053574827,-225327.386427729,-139611.942134289,-63494.7220361442,103272.434297812,107465.337859611,64911.535102302,43540.3052819759,24664.4969388691
4518449.56422218,2803674.27166422,641373.852463746,361755.595409648,196194.690497708,731243.079373373,500439.08425406,133534.741499001,75128.4249618012,37679.9380789964
1528223.08228872,988653.664751237,243069.444243792,143155.808840391,86721.2529027401,781571.337729639,556340.852936405,157913.590193536,91922.7144136647,49083.8683009314
461574.938099971,409500.012412687,-255735.996641973,-92120.4771679498,-26252.5466855774,-359726.09316239,-399638.919530145,228672.870257709,79095.4949389809,33820.1641570384
-283710.72294132,-316989.819501938,894834.801806191,198967.399866121,94389.6738823758,-128054.489211698,-161307.919105448,512917.011458437,103742.37059615,38490.1277689781
118175.344609441,139681.542083695,255744.514482852,620947.936577487,-227153.501534878,-50816.8691834484,-54416.4129787799,-85560.6767738529,-216089.392784919,93724.3486044447
1478328.11563944,15750600.7341021,-266896.52092752,-104738.519564038,-29401.8201023134,-1073278.99000473,-8246836.23493335,112875.833711603,53167.5197582793,26081.6359607599
-93739.5391060909,-28769.4588333445,-589708.251398748,-72215.9794449959,-5698.44477051554,-114965.528252536,-136394.956260538,731668.627908109,101574.851487262,35363.8835658781
