"Total Costs (1-year)","Total Costs (5-year)","Total Costs (10-year)","Total Costs (Lifetime)","Health Sector Costs (1-year)","Health Sector Costs (5-year)","Health Sector Costs (10-year)","Health Sector Costs (Lifetime)","Criminal Costs (1-year)","Criminal Costs (5-year)","Criminal Costs (10-year)","Criminal Costs (Lifetime)","Treatment Costs (1-year)","Treatment Costs (5-year)","Treatment Costs (10-year)","Treatment Costs (Lifetime)","Total QALYs (1-year)","Total QALYs (5-year)","Total QALYs (10-year)","Total QALYs (Lifetime)"
31862.2313911035,139022.434176329,249135.188776233,580010.361444436,1039.71870696301,5406.55155263073,10441.5257467727,29481.4867750811,30822.5126841405,133615.882623698,238693.663029461,550528.874669355,8.94182916449497,39.1633981577253,69.9935099159461,168.172683381373,0.604657675335812,2.75553631385661,4.98658166941415,12.0006650389821
17196.3523507999,86593.3950462732,162487.897213513,392463.273769477,240.495108956788,968.977381251759,1932.23324520054,7771.53819015269,16955.8572418432,85624.4176650215,160555.663968313,384691.735579324,9.0095912990271,39.6431866138986,71.0139667939746,171.940058481458,0.607546530263483,2.7875387309652,5.06524076797548,12.3302407602096
20486.964907839,90460.0833544652,164179.248872996,389641.126043901,2183.22989912414,12641.6108157357,24596.2866501462,62221.9158881394,18303.7350087148,77818.4725387295,139582.96222285,327419.210155761,8.88432093994803,39.1311246174805,70.2803520185318,173.528012652596,0.642977269662136,2.88659043956572,5.19079352670835,12.3976149181841
21872.3650208101,115288.094988915,219014.819538729,524369.812878228,669.021926572254,2640.95142004134,4897.31146771255,15918.0387605337,21203.3430942379,112647.143568874,214117.508071016,508451.774117695,8.87783903408776,38.8334986816987,69.5295703525149,171.270877226421,0.617367464240864,2.78607614161455,5.0263952526132,12.0171165455235
20899.7576415862,95299.6357000209,174531.231799684,421686.396787313,2688.81944684413,13450.8538645604,25715.4500588216,70337.9073485707,18210.9381947421,81848.7818354605,148815.781740862,351348.489438742,8.80717735718057,39.0878771250744,70.3174237366451,171.849810369875,0.629413662623354,2.8685173303338,5.20166066436081,12.5222333685895
22817.5283476396,103274.086219216,188154.730645012,446197.949790098,981.874090369995,5018.81150292235,9869.21316257009,29975.8840648545,21835.6542572696,98255.2747162933,178285.517482442,416222.065725243,8.7859228671621,39.0225160260956,70.1907940807327,174.54325973119,0.609737116171562,2.78455660643876,5.04319500413612,12.1790117018332
26318.6428944831,121062.099843464,220475.313693335,521828.665594391,465.418396319689,1787.14295360742,3325.40996380239,10984.7353293061,25853.2244981634,119274.956889856,217149.903729533,510843.930265085,8.98804523337603,39.7181806254542,71.2868867249465,173.040194465754,0.665669964414203,3.0542108175234,5.55234506447846,13.5747230134366
24386.3672360435,107618.102841279,194663.993729088,456083.196956356,539.157046562353,2209.46028605908,4235.7554406427,14634.1989909573,23847.2101894811,105408.64255522,190428.238288445,441448.997965399,8.94527231016777,39.8203944454132,71.6945635751032,175.549078497976,0.68410529374564,3.1237253148799,5.66879047527521,13.7202341460116
20947.3099201043,93154.2033474016,168903.745963914,401342.272294446,404.446270210333,1952.44716578736,3990.88278802413,14878.4843811788,20542.863649894,91201.7561816143,164912.86317589,386463.787913268,8.99219457631021,39.5536582529853,70.8282746782848,170.651449246878,0.635471475581297,2.91906948860586,5.29935122541121,12.8313712688582
24435.6691159795,116139.896111538,213757.721117262,508720.359972524,938.256724157189,4616.35712510598,9253.5077473848,31804.5086720313,23497.4123918223,111523.538986432,204504.213369878,476915.851300493,8.72159811550116,38.6353676955984,69.3289933058811,171.10460026703,0.625127518074009,2.84828392309054,5.1574115300049,12.4284336360363
22351.6079101904,104836.848111681,192592.172786277,463616.199251051,2137.45261732204,9765.21259387894,18200.7268478812,51076.4832188563,20214.1552928684,95071.6355178022,174391.445938395,412539.716032195,8.99122303290867,39.7300192131188,71.336801173248,176.513944765296,0.570746304794173,2.60096105194019,4.70605518531535,11.346936435975
22505.2376285243,103109.579425234,189003.663116149,447501.341802026,2523.68779238053,10510.2989954836,18662.5133621293,46387.3966245618,19981.5498361438,92599.2804297502,170341.14975402,401113.945177464,9.00055480697365,39.4304967553302,70.4333821134164,171.215310422698,0.607155048188303,2.75814479602456,4.97689843714481,12.037423892887
20840.6461437574,98180.3997506871,182150.785834618,435091.779481241,637.293473276112,2824.1756996321,5427.11085763424,17458.8790236057,20203.3526704813,95356.224051055,176723.674976984,417632.900457635,8.93333813112526,39.9136165160596,72.0504965773741,178.615420196877,0.630141595676735,2.85080940379186,5.14079313676861,12.2269962609318
22440.4498752937,101170.008888614,184680.553480715,438043.700106291,938.376955064547,4100.52654443581,7862.89285956781,24851.947982567,21502.0729202292,97069.4823441786,176817.660621147,413191.752123724,8.94320173067387,39.7571735188158,71.6163236665933,176.478426606758,0.61769409120028,2.83964139300669,5.15197052233544,12.4639644717612
23734.9010751899,104163.358407297,188462.541119361,446147.173045871,1983.91290225894,10865.3508674262,20896.9010365991,53920.9667262015,21750.988172931,93298.0075398706,167565.640082761,392226.20631967,8.98348396573257,40.7546708447227,74.0223968486029,185.328397818084,0.638955990754618,2.93008043799987,5.32007546006427,12.9170520770952
28453.6180460116,134596.899692878,248293.701005743,585489.441775391,3980.74127048318,15767.2314878676,27454.6894429801,66178.2186388418,24472.8767755284,118829.66820501,220839.011562763,519311.223136549,8.76718173524227,38.6739006224256,69.3629686088126,171.094050096141,0.650062258545198,2.96772952679346,5.3779903196662,12.960878586199
21284.0490252617,99689.2194690771,183184.477443477,436304.338156077,1410.39050521153,6007.51920725915,10917.7651627936,28974.9055486815,19873.6585200502,93681.7002618179,172266.712280683,407329.432607396,8.99162140697189,39.5680069134169,70.9105288653552,171.652484494674,0.596329048202443,2.72651459056947,4.9579223427132,12.1790123088157
24780.0900948469,114310.917121601,209101.684226087,491471.313338321,577.94976443778,2629.74001153007,5167.28353173883,17313.8059898735,24202.1403304091,111681.17711007,203934.400694348,474157.507348447,8.94594322569739,39.3146370102837,70.3341582440988,170.179803427997,0.605146165224805,2.75432385121356,4.97877702458239,11.9634508828335
18533.6485893916,85829.7893456854,156354.912560075,371330.763495656,548.880790047907,2223.9302440977,4289.22124127144,15453.2137437184,17984.7677993437,83605.8591015877,152065.691318804,355877.549751938,8.85081598469543,39.7487417029415,72.0553866153687,180.86685040496,0.605527564972206,2.78029833398359,5.04115868219058,12.162687631712
