"n_TOTAL_costs_1yr","n_TOTAL_costs_5yr","n_TOTAL_costs_10yr","n_HEALTH_SECTOR_costs_1yr","n_HEALTH_SECTOR_costs_5yr","n_HEALTH_SECTOR_costs_10yr","n_CRIMINAL_costs_1yr","n_CRIMINAL_costs_5yr","n_CRIMINAL_costs_10yr","n_TX_costs_1yr","n_TX_costs_5yr","n_TX_costs_10yr","n_TOTAL_qalys_1yr","n_TOTAL_qalys_5yr","n_TOTAL_qalys_10yr"
29686.0455525107,145547.730630189,250876.028944366,5201.12836941375,21012.3524964138,35528.2341754426,24484.917183097,124535.378133775,215347.794768923,4653.67625457254,17935.0542802868,29129.9057804328,0.69275316062271,2.948266724296,4.86675564927817
55452.800810119,275002.83687628,470745.33564491,6516.64151360698,27444.2848528206,46330.9981298744,48936.159296512,247558.552023459,424414.337515036,4547.46890632536,17276.0814129424,27867.7497903701,0.643688139500955,2.76129603591411,4.55544470369954
50511.2207088629,256091.178170282,445557.905295299,5934.2748887829,21733.1957490109,35844.4237211123,44576.94582008,234357.982421271,409713.481574187,4276.45903254108,15046.5538567306,24048.3050106468,0.643663447952608,2.74316140105187,4.54247611957374
48204.2270134923,252844.22554589,445038.173710375,5217.86308683894,21232.4220490735,36170.7220578427,42986.3639266534,231611.803496816,408867.451652532,4813.11611245436,18922.1045995206,31293.8429956323,0.655394111487955,2.80571624352411,4.67434986267831
50758.9583817248,267352.061886999,472281.324328222,6791.38192287962,28430.1937716488,48896.2179981128,43967.5764588452,238921.86811535,423385.106330109,4711.3782130972,18329.3714416092,30361.8329466986,0.663214659902729,2.85669099503767,4.77398281995184
29048.7414984939,149605.309992127,264948.535689438,5404.99707627478,21686.4401726447,36949.3898440867,23643.7444222192,127918.869819483,227999.145845351,4684.64704221052,18551.8759850652,30894.4797289633,0.649548637755519,2.82596700463847,4.76799574902752
66512.8827506167,347900.728694505,614073.01725991,4609.35150877866,17488.1992830395,29864.5370733983,61903.5312418381,330412.529411466,584208.480186511,4140.82838541579,14338.3490631169,22898.9295575797,0.658589232888217,2.84777291984921,4.76949137703229
49641.3407256337,236297.367852013,412120.445485433,5657.88035801095,24501.7661689928,42354.2849422165,43983.4603676227,211795.60168302,369766.160543216,4947.38561245455,20748.4437070531,35182.5831017011,0.705936412985359,3.07795795718631,5.20928160148039
40677.9609980542,205971.8154799,361355.00602915,5423.82577670644,23924.0209793472,44699.9502369834,35254.1352213478,182047.794500553,316655.055792167,4542.41087394479,17714.3899765578,29070.2821674432,0.669328761315246,2.859822622357,4.73972211699373
54009.8343199958,285302.143949991,495503.503422715,4726.56516681867,18246.2042651606,30716.5929895773,49283.2691531772,267055.93968483,464786.910433138,4392.68050256423,15589.1884702405,24664.6883346203,0.632914507728208,2.68308362619641,4.4052874192571
