"n_inc_costs_TOTAL_1yr","n_inc_costs_TOTAL_5yr","n_inc_costs_TOTAL_10yr","n_inc_costs_HEALTH_SECTOR_1yr","n_inc_costs_HEALTH_SECTOR_5yr","n_inc_costs_HEALTH_SECTOR_10yr","n_inc_qalys_TOTAL_1yr","n_inc_qalys_TOTAL_5yr","n_inc_qalys_TOTAL_10yr"
-13507.6472416319,NA,NA,-3203.21844520609,NA,NA,-0.307361955508914,NA,NA
-28188.3030113065,NA,NA,-3055.24633629004,NA,NA,-0.273529882082991,NA,NA
-26623.1112100135,NA,NA,-3358.42163365497,NA,NA,-0.301274828736812,NA,NA
-18741.1371003698,NA,NA,-3281.02946164715,NA,NA,-0.270168809503325,NA,NA
-25844.6634930635,NA,NA,-2782.72108070487,NA,NA,-0.285235255224667,NA,NA
-14049.9718015226,NA,NA,-3447.9965957914,NA,NA,-0.248635668215417,NA,NA
-18222.6237061439,NA,NA,-3382.20363752528,NA,NA,-0.268015098244603,NA,NA
-15870.826099245,NA,NA,-2989.7890096453,NA,NA,-0.216950212205846,NA,NA
-17801.2069545251,NA,NA,-3081.4493115175,NA,NA,-0.263650585073327,NA,NA
-9276.7303032224,NA,NA,-3100.00253160575,NA,NA,-0.267703455402211,NA,NA
-29550.907946613,NA,NA,-3199.84472831351,NA,NA,-0.321659385887395,NA,NA
-18864.8938273887,NA,NA,-2839.38695413807,NA,NA,-0.245434658528948,NA,NA
-29491.1496200375,NA,NA,-3242.55943240702,NA,NA,-0.256666677405818,NA,NA
-31913.5800867189,NA,NA,-3467.62553700315,NA,NA,-0.281392820206889,NA,NA
-26333.629117886,NA,NA,-3195.32892492703,NA,NA,-0.305846608015418,NA,NA
-19295.6675930374,NA,NA,-3244.75836834124,NA,NA,-0.295328351343531,NA,NA
-36178.1852577841,NA,NA,-3728.47846109371,NA,NA,-0.276329452311823,NA,NA
-21940.1580943006,NA,NA,-3222.65811227633,NA,NA,-0.265256262004806,NA,NA
-16719.4694592093,NA,NA,-2819.09492173106,NA,NA,-0.293643589623855,NA,NA
-41011.6020243267,NA,NA,-2994.57487773898,NA,NA,-0.27703081739367,NA,NA
-19711.7916058196,NA,NA,-2680.15866835554,NA,NA,-0.274431105428836,NA,NA
-23343.7909921959,NA,NA,-3501.81980649255,NA,NA,-0.31590583393625,NA,NA
-24711.3147754853,NA,NA,-3263.8143760621,NA,NA,-0.304035271099342,NA,NA
-36193.2702307546,NA,NA,-2942.70311087242,NA,NA,-0.302069774737552,NA,NA
-16331.8639921549,NA,NA,-3157.73923986969,NA,NA,-0.276039072429263,NA,NA
-18611.0150257763,NA,NA,-3038.34278795453,NA,NA,-0.228540939427686,NA,NA
-19013.2028093735,NA,NA,-3072.64698772552,NA,NA,-0.308282689079614,NA,NA
-22375.674182263,NA,NA,-3161.05885193022,NA,NA,-0.281188821265638,NA,NA
-20699.533235475,NA,NA,-4100.85989429695,NA,NA,-0.248449334022718,NA,NA
-18963.2968625405,NA,NA,-3494.93642603277,NA,NA,-0.340919293662964,NA,NA
-19280.1357310538,NA,NA,-3493.05842950633,NA,NA,-0.281928882392399,NA,NA
-26037.0705607731,NA,NA,-2753.79812650457,NA,NA,-0.263442964347046,NA,NA
-27817.2860946594,NA,NA,-2875.45760382998,NA,NA,-0.289644952677308,NA,NA
-17665.5748149155,NA,NA,-2955.828318439,NA,NA,-0.258954781934413,NA,NA
-19061.0153334231,NA,NA,-3487.14236170156,NA,NA,-0.252048636159978,NA,NA
-28840.2240736178,NA,NA,-3091.28873355299,NA,NA,-0.285291896484803,NA,NA
-17233.0542409633,NA,NA,-3287.96976668586,NA,NA,-0.225878085360902,NA,NA
-17627.6551540087,NA,NA,-2233.74152416171,NA,NA,-0.223846312790134,NA,NA
-30666.4973735915,NA,NA,-3039.26029143084,NA,NA,-0.319252849226713,NA,NA
-14949.7135549939,NA,NA,-3032.43267481997,NA,NA,-0.279969576890253,NA,NA
-19478.7421545052,NA,NA,-3181.01931219552,NA,NA,-0.298472893633717,NA,NA
-17570.9760924047,NA,NA,-2758.91457240301,NA,NA,-0.282845937751612,NA,NA
-27364.7853955671,NA,NA,-3208.92502185973,NA,NA,-0.253284388004553,NA,NA
-28497.9520472805,NA,NA,-3397.94785849011,NA,NA,-0.302706054773353,NA,NA
-18335.0248431535,NA,NA,-3681.27586377705,NA,NA,-0.314857085955523,NA,NA
-18554.0390596238,NA,NA,-2638.69065231454,NA,NA,-0.285603937245331,NA,NA
-21997.6322180587,NA,NA,-3136.83489522074,NA,NA,-0.277169026073389,NA,NA
-16172.1864449696,NA,NA,-3400.5654112971,NA,NA,-0.323167745277583,NA,NA
-27925.9031212645,NA,NA,-3033.54427895884,NA,NA,-0.242821301324932,NA,NA
-27900.0520123868,NA,NA,-3465.72140018558,NA,NA,-0.272360690334489,NA,NA
-26625.4879935584,NA,NA,-3329.37242873451,NA,NA,-0.287334476935762,NA,NA
-23888.30238924,NA,NA,-3346.52879835819,NA,NA,-0.253394966116467,NA,NA
-25601.347437903,NA,NA,-2855.598700571,NA,NA,-0.308739571615563,NA,NA
-17173.4282637062,NA,NA,-2986.14125836941,NA,NA,-0.278415971172322,NA,NA
-18834.1824168493,NA,NA,-2749.74523704767,NA,NA,-0.234297329313431,NA,NA
-20157.6623076704,NA,NA,-2514.1047043301,NA,NA,-0.250166947031565,NA,NA
-18542.8736317305,NA,NA,-3025.43970488662,NA,NA,-0.26538029966437,NA,NA
-16015.266446533,NA,NA,-3401.07322269334,NA,NA,-0.248463589088731,NA,NA
-17497.7560554608,NA,NA,-2992.43795940594,NA,NA,-0.276744151164201,NA,NA
-32126.8351224742,NA,NA,-3589.14495778175,NA,NA,-0.314992210807396,NA,NA
-23932.3579133084,NA,NA,-2729.71089074509,NA,NA,-0.312095394595102,NA,NA
-17670.9453627351,NA,NA,-3166.83878885822,NA,NA,-0.300276338305021,NA,NA
-23858.4704001115,NA,NA,-2907.93335289879,NA,NA,-0.285493189222942,NA,NA
-26184.7824152653,NA,NA,-3443.22343225052,NA,NA,-0.258398238909769,NA,NA
-22913.6864732532,NA,NA,-2813.64110452806,NA,NA,-0.285307640102384,NA,NA
-27066.6434740297,NA,NA,-2980.24587468874,NA,NA,-0.291180680643131,NA,NA
-24590.1272719842,NA,NA,-3132.20974614164,NA,NA,-0.242463409191037,NA,NA
-24536.7689545708,NA,NA,-2744.24285161015,NA,NA,-0.240143248958231,NA,NA
-27980.0378603537,NA,NA,-4100.72666935485,NA,NA,-0.34064775438114,NA,NA
-25021.0066201505,NA,NA,-2323.88881947818,NA,NA,-0.292403331823338,NA,NA
-17002.9033226428,NA,NA,-3575.24411095133,NA,NA,-0.310956383405069,NA,NA
-23053.1984686308,NA,NA,-2855.54912098763,NA,NA,-0.240139345815353,NA,NA
-16780.7832096674,NA,NA,-2497.7363540567,NA,NA,-0.275590683768345,NA,NA
-21012.4649887816,NA,NA,-3361.11196226655,NA,NA,-0.276004378511082,NA,NA
-13543.8244162038,NA,NA,-3189.05858954281,NA,NA,-0.287214164148398,NA,NA
-21986.4442512607,NA,NA,-3137.99412669337,NA,NA,-0.251676412136245,NA,NA
-22602.1776276546,NA,NA,-3137.56195029069,NA,NA,-0.281642902246162,NA,NA
-26583.166066302,NA,NA,-2755.42501868792,NA,NA,-0.243719071011827,NA,NA
-17354.2809524571,NA,NA,-2906.40054839394,NA,NA,-0.297202794506302,NA,NA
-28711.365536122,NA,NA,-3233.18561087618,NA,NA,-0.261288177097334,NA,NA
-24373.7534258835,NA,NA,-2935.68816943762,NA,NA,-0.28191909607889,NA,NA
-18762.8063128776,NA,NA,-3553.27002747554,NA,NA,-0.267307905841342,NA,NA
-27313.7255654403,NA,NA,-2952.75295234536,NA,NA,-0.324877570059469,NA,NA
-22588.5961744037,NA,NA,-3132.59914867531,NA,NA,-0.209730488996658,NA,NA
-22500.8479682832,NA,NA,-3298.07940316731,NA,NA,-0.261153428041298,NA,NA
