n_inc_costs_TOTAL_6mo,n_inc_costs_TOTAL_1yr,n_inc_costs_TOTAL_5yr,n_inc_costs_TOTAL_10yr,n_inc_costs_TOTAL_life,n_inc_costs_HEALTH_SECTOR_6mo,n_inc_costs_HEALTH_SECTOR_1yr,n_inc_costs_HEALTH_SECTOR_5yr,n_inc_costs_HEALTH_SECTOR_10yr,n_inc_costs_HEALTH_SECTOR_life,n_inc_qalys_TOTAL_6mo,n_inc_qalys_TOTAL_1yr,n_inc_qalys_TOTAL_5yr,n_inc_qalys_TOTAL_10yr,n_inc_qalys_TOTAL_life,n_inc_costs_TX_6mo,n_inc_costs_TX_1yr,n_inc_costs_TX_5yr,n_inc_costs_TX_10yr,n_inc_costs_TX_life,n_inc_costs_HRU_6mo,n_inc_costs_HRU_1yr,n_inc_costs_HRU_5yr,n_inc_costs_HRU_10yr,n_inc_costs_HRU_life,n_inc_costs_CRIMINAL_6mo,n_inc_costs_CRIMINAL_1yr,n_inc_costs_CRIMINAL_5yr,n_inc_costs_CRIMINAL_10yr,n_inc_costs_CRIMINAL_life,,BNX-Dominant,BNX-Dominated,BNX-LC-LE,BNX-MC-ME,,BNX-Dominant,BNX-Dominated,BNX-LC-LE,BNX-MC-ME
-3909.493486,-5749.676956,-9422.269761,-10419.00183,-12523.98078,-1065.260972,-1769.710747,-3741.751276,-4167.27876,-4328.71573,0.003529142,0.004998941,-0.014219069,-0.046057877,-0.114585214,-1248.229768,-2168.103449,-4802.891811,-5377.232484,-5898.372587,182.9650512,398.3736424,1060.806488,1209.310741,1568.379643,-2844.232513,-3979.966208,-5680.518485,-6251.723068,-8195.265051,,0,0,1,0,,,,,
3137.066149,4322.816918,6187.330528,6125.442957,4084.2912,-1164.82807,-2069.597128,-5084.671947,-5847.281067,-6040.32124,-0.006632514,-0.012347249,-0.064097591,-0.128872602,-0.274411843,-1212.763454,-2250.604405,-5789.464497,-6725.499316,-7626.839531,47.92457493,180.9551873,703.896032,876.4405971,1582.928462,4301.894219,6392.414045,11272.00247,11972.72402,10124.61244,,0,1,0,0,,,,,
4817.45209,9271.325263,25286.02773,27793.2803,24675.11691,-1165.478992,-2054.308762,-4719.984157,-5274.725104,-5481.713712,-0.010407512,-0.019187969,-0.074143151,-0.12120675,-0.21537465,-1335.225592,-2453.240805,-5957.055077,-6719.87876,-7474.133355,169.7426603,398.911462,1236.714827,1444.50695,1991.066359,5982.931082,11325.63402,30006.01189,33068.0054,30156.83062,,0,1,0,0,,,,,
-575.3833558,-1110.217246,-649.8667041,-197.988921,-2406.43721,-1395.895586,-2412.239762,-5241.048454,-5828.337206,-6058.689093,-0.005190544,-0.010029511,-0.05946298,-0.111133256,-0.215984942,-1611.357263,-2851.193069,-6486.60826,-7297.153358,-8075.583091,215.4479977,438.8871018,1244.393586,1466.308295,2011.279263,820.5122304,1302.022515,4591.18175,5630.348285,3652.251884,,0,0,1,0,,,,,
-5495.071024,-8033.521743,-14597.57883,-17360.90933,-21873.51276,-811.5617814,-1418.447763,-3400.999506,-3944.484479,-4165.955358,0.006446733,0.008117855,-0.023925999,-0.072792016,-0.168719653,-1311.490799,-2395.382842,-5983.897937,-6893.985339,-7709.038508,499.914603,976.8677263,2581.760282,2947.205605,3538.555947,-4683.509243,-6615.07398,-11196.57932,-13416.42485,-17707.5574,,0,0,1,0,,,,,
-9346.038894,-13963.09256,-24110.36541,-26579.55381,-29509.87078,-1168.826974,-2013.778378,-4314.099065,-4730.980336,-4850.968275,0.025193166,0.038947213,0.055718508,0.037185919,-0.01500324,-1248.463274,-2196.042159,-4838.620077,-5338.535565,-5736.363357,79.63226286,182.2469373,524.2813214,607.1376409,884.7083284,-8177.21192,-11949.31418,-19796.26634,-21848.57347,-24658.90251,,0,0,1,0,,,,,
-736.1850352,-767.3622794,457.4551304,671.098363,-354.1634763,-1238.413232,-2087.891162,-4363.6806,-4779.117798,-4938.991723,0.007016487,0.008551631,-0.010131365,-0.034993856,-0.082888727,-1307.97573,-2327.799054,-5122.120291,-5606.565338,-5957.891836,69.5543208,239.867063,757.7828016,826.2063579,1016.697836,502.2281967,1320.528883,4821.13573,5450.216161,4584.828246,,0,0,1,0,,,,,
1724.863528,3999.041199,12146.03434,13019.58127,10960.91073,-1229.68699,-2183.03561,-4969.102988,-5569.432772,-5719.096374,0.008586235,0.014241177,0.001648843,-0.041237113,-0.142630865,-1552.039419,-2772.675119,-6410.965832,-7200.966741,-7914.499459,322.3412192,589.5858628,1440.976022,1629.752995,2191.72505,2954.550517,6182.076809,17115.13733,18589.01404,16680.00711,,0,1,0,0,,,,,
-12919.94407,-19935.07636,-38107.6831,-42374.15958,-45749.1633,-1288.09548,-2184.193461,-4742.984977,-5243.839813,-5433.841799,-0.003489152,-0.006173287,-0.030074971,-0.055565142,-0.109210267,-1328.075614,-2326.632327,-5228.290146,-5802.989642,-6235.732253,39.97522347,142.4143242,484.9215786,558.4308119,800.5225184,-11631.84859,-17750.8829,-33364.69813,-37130.31977,-40315.3215,,0,0,1,0,,,,,
8370.411651,13002.39605,24669.24145,26207.48002,24820.19467,-738.7328981,-1195.359912,-2558.477253,-2927.258165,-3184.978137,0.001374161,0.001226963,-0.019801015,-0.048025283,-0.105512378,-1045.020734,-1811.928599,-4064.34429,-4568.341088,-4979.222126,306.2851517,616.5556807,1505.655985,1640.693576,1793.463708,9109.144549,14197.75596,27227.7187,29134.73819,28005.17281,,0,1,0,0,,,,,
