"n_icer_TOTAL_1yr","n_icer_TOTAL_5yr","n_icer_TOTAL_10yr","n_icer_HEALTH_SECTOR_1yr","n_icer_HEALTH_SECTOR_5yr","n_icer_HEALTH_SECTOR_10yr"
87476.5684019994,NA,NA,12391.2171022972,NA,NA
68858.8922460785,NA,NA,11140.043071449,NA,NA
120133.843613937,NA,NA,13847.2069591102,NA,NA
77704.6999190337,NA,NA,11174.3927676702,NA,NA
89521.9256266874,NA,NA,13198.0160287425,NA,NA
73088.3920769358,NA,NA,8634.39871236367,NA,NA
79438.673665888,NA,NA,15130.6773507217,NA,NA
58166.2215153188,NA,NA,7995.63246184057,NA,NA
83257.7725144832,NA,NA,8782.71683759681,NA,NA
95592.4634471847,NA,NA,15986.5598206204,NA,NA
63072.2578709674,NA,NA,8670.93410612853,NA,NA
90237.335218798,NA,NA,9974.70663480167,NA,NA
75399.2761340269,NA,NA,13383.2654996165,NA,NA
95620.4261813806,NA,NA,14646.2204756442,NA,NA
137934.267595018,NA,NA,10812.8090063054,NA,NA
86613.6782490921,NA,NA,11694.6958540971,NA,NA
83349.5970476073,NA,NA,15234.3547097088,NA,NA
72414.7237227569,NA,NA,11658.280550392,NA,NA
84226.3401463754,NA,NA,8800.30082131195,NA,NA
81776.5502025878,NA,NA,11733.3172279603,NA,NA
56717.4648136761,NA,NA,10839.1110934619,NA,NA
80515.8884721717,NA,NA,9648.2991967099,NA,NA
66553.9847951411,NA,NA,9426.60215846137,NA,NA
68705.108693643,NA,NA,14127.6673644887,NA,NA
61346.7545075178,NA,NA,9361.47303046615,NA,NA
101355.039014929,NA,NA,8963.53096574757,NA,NA
117374.532152339,NA,NA,9709.93360465075,NA,NA
41040.0027674867,NA,NA,12424.4692415483,NA,NA
69157.0605711069,NA,NA,11505.2851741942,NA,NA
86775.3946041425,NA,NA,11511.1537019112,NA,NA
88609.8136053322,NA,NA,9940.3059801702,NA,NA
122579.316487585,NA,NA,13258.9064844358,NA,NA
51071.481165777,NA,NA,10758.1645606317,NA,NA
102628.523937737,NA,NA,12000.2608448073,NA,NA
77094.3792120412,NA,NA,13021.4444230862,NA,NA
40217.0960977835,NA,NA,12519.8726015256,NA,NA
66239.3271662148,NA,NA,11783.0270818236,NA,NA
54842.0450687224,NA,NA,10073.7309554665,NA,NA
81391.8030753442,NA,NA,10758.114905095,NA,NA
65805.2741121771,NA,NA,10117.6714896057,NA,NA
55798.4224150992,NA,NA,10281.9350079283,NA,NA
78176.4821256221,NA,NA,11947.1345115536,NA,NA
93787.6883454221,NA,NA,10999.7187692118,NA,NA
122232.907293995,NA,NA,12497.4111685432,NA,NA
90348.1628287685,NA,NA,13402.5532645825,NA,NA
74874.5335192586,NA,NA,13020.4229212389,NA,NA
102898.89475959,NA,NA,10901.659233883,NA,NA
100948.413866627,NA,NA,9529.5238643589,NA,NA
80705.3013600431,NA,NA,11045.7396048781,NA,NA
58739.7650438022,NA,NA,13812.4740268025,NA,NA
72174.8163003917,NA,NA,13089.5418812314,NA,NA
62002.5748296705,NA,NA,13818.8108349186,NA,NA
114701.640659117,NA,NA,14572.2254155035,NA,NA
91613.8207008364,NA,NA,12473.2448631056,NA,NA
67242.5216827844,NA,NA,10443.6556389215,NA,NA
62780.5491666435,NA,NA,11904.5289692484,NA,NA
96928.811074468,NA,NA,14439.3770185466,NA,NA
43759.147715252,NA,NA,11672.1766146945,NA,NA
95681.7602138997,NA,NA,8535.84318856202,NA,NA
94874.4867297709,NA,NA,9788.38131693988,NA,NA
57133.2946521967,NA,NA,16567.658712922,NA,NA
97992.5344060401,NA,NA,15910.2023898832,NA,NA
73757.9197733513,NA,NA,11639.5245160797,NA,NA
94090.0982448727,NA,NA,12640.5199553355,NA,NA
64106.4325310404,NA,NA,10921.002772483,NA,NA
56705.795656208,NA,NA,15477.114166359,NA,NA
75408.3245057269,NA,NA,11229.3175566964,NA,NA
53477.7243911532,NA,NA,11845.4462325703,NA,NA
47724.2003666065,NA,NA,9943.86093297173,NA,NA
96034.816115428,NA,NA,11330.4946975849,NA,NA
95086.3008401534,NA,NA,12653.7672936828,NA,NA
79261.8842267949,NA,NA,12033.4519166855,NA,NA
75575.1521442522,NA,NA,14490.9322261049,NA,NA
74348.1308708352,NA,NA,9841.94668268283,NA,NA
101437.702539299,NA,NA,15450.4730947164,NA,NA
85066.7590980867,NA,NA,11253.953255233,NA,NA
44129.3169488861,NA,NA,13842.210830625,NA,NA
56832.2657058722,NA,NA,10317.4895207483,NA,NA
119267.104342385,NA,NA,9597.56835981933,NA,NA
63119.0983609151,NA,NA,10887.2537808524,NA,NA
71562.4901433064,NA,NA,11876.6301462103,NA,NA
69613.4053874014,NA,NA,12320.8229327907,NA,NA
53374.2552913445,NA,NA,10233.1705145544,NA,NA
56354.697608971,NA,NA,12250.728721472,NA,NA
118316.7837221,NA,NA,12380.8453536516,NA,NA
93931.179223562,NA,NA,14366.2717131641,NA,NA
101912.556512333,NA,NA,17207.5662851862,NA,NA
90249.7397083172,NA,NA,14009.1490052615,NA,NA
99628.6094904755,NA,NA,9848.89348498888,NA,NA
83263.7503553227,NA,NA,11478.8392983343,NA,NA
71852.5958881094,NA,NA,11280.1877914225,NA,NA
61665.2419824953,NA,NA,11048.4339470014,NA,NA
101987.50140912,NA,NA,10741.8428219068,NA,NA
42668.6097720024,NA,NA,11824.4946854533,NA,NA
55099.3582971437,NA,NA,11657.5018482844,NA,NA
54101.8628562822,NA,NA,11482.3184176928,NA,NA
60382.7840175009,NA,NA,9466.20727393048,NA,NA
111466.718768239,NA,NA,9193.45962106145,NA,NA
89621.3226869769,NA,NA,9591.50906847077,NA,NA
91923.8693425709,NA,NA,9672.60815208179,NA,NA
80586.2525419346,NA,NA,10921.6031345262,NA,NA
108950.00112636,NA,NA,11407.8094789986,NA,NA
106059.463307822,NA,NA,10537.7557245951,NA,NA
106840.28455025,NA,NA,12910.9942238766,NA,NA
54093.8642099377,NA,NA,11344.3144067685,NA,NA
98034.9014073393,NA,NA,11238.5009060256,NA,NA
81622.2731303329,NA,NA,13378.0942856987,NA,NA
72541.2499096324,NA,NA,10267.9268477401,NA,NA
68618.8495085681,NA,NA,13664.1756050137,NA,NA
100505.993910977,NA,NA,9982.34590792873,NA,NA
72991.6306726033,NA,NA,9793.20788336691,NA,NA
80518.6404309976,NA,NA,12891.7153815703,NA,NA
74876.8367290801,NA,NA,11035.0570141215,NA,NA
94306.2817321293,NA,NA,10684.3103608697,NA,NA
67889.6032691484,NA,NA,12311.1124065864,NA,NA
97891.1226824634,NA,NA,10143.1384136242,NA,NA
46708.2142004681,NA,NA,11319.156476289,NA,NA
125420.143599488,NA,NA,9696.50883328862,NA,NA
50098.3341858162,NA,NA,10588.9677576986,NA,NA
76615.7450308678,NA,NA,11479.7718586315,NA,NA
71013.6481923438,NA,NA,10486.6013577434,NA,NA
61171.0834190845,NA,NA,11989.9643400266,NA,NA
68203.6144859552,NA,NA,10740.5097722907,NA,NA
100432.106972417,NA,NA,10119.7609033057,NA,NA
84721.31824146,NA,NA,12419.7151016039,NA,NA
98680.1236154478,NA,NA,15362.219896482,NA,NA
59430.1612312231,NA,NA,12123.2967616135,NA,NA
75812.7663460354,NA,NA,13564.2786732537,NA,NA
70763.609376755,NA,NA,10349.9194881319,NA,NA
69402.5281754389,NA,NA,10648.2854743419,NA,NA
112072.767636234,NA,NA,8152.76627455794,NA,NA
78371.693319855,NA,NA,11208.1547402986,NA,NA
78936.7518553743,NA,NA,11379.255960265,NA,NA
105182.26313363,NA,NA,16977.2483212061,NA,NA
66323.1365673855,NA,NA,10098.5796229625,NA,NA
75821.7026812804,NA,NA,13258.5484567554,NA,NA
73284.7021890523,NA,NA,13047.5108830617,NA,NA
78777.0914669374,NA,NA,11306.2194333121,NA,NA
89227.0026507695,NA,NA,13504.1097961416,NA,NA
109029.205655894,NA,NA,9198.09276959727,NA,NA
63521.5466730553,NA,NA,14419.8326553126,NA,NA
51087.4635680542,NA,NA,10386.7331088588,NA,NA
139576.064285107,NA,NA,15386.8716594655,NA,NA
112854.46390027,NA,NA,15266.1218131721,NA,NA
63157.8645239752,NA,NA,11930.0962992987,NA,NA
57534.9405584926,NA,NA,12246.29252528,NA,NA
70406.3571735627,NA,NA,9918.72835902624,NA,NA
91127.1795930525,NA,NA,10903.6087182227,NA,NA
123284.495509357,NA,NA,11410.494012469,NA,NA
104847.084716704,NA,NA,12365.9432097765,NA,NA
72064.5029123907,NA,NA,13123.8061868437,NA,NA
71786.6910882565,NA,NA,9437.63501744963,NA,NA
98144.1501594618,NA,NA,11391.2500805161,NA,NA
82936.3932640068,NA,NA,12218.6260440763,NA,NA
65305.004198266,NA,NA,11672.8796910806,NA,NA
86894.5300452642,NA,NA,13716.1478085892,NA,NA
88950.0596535733,NA,NA,10972.8674609079,NA,NA
47701.497082248,NA,NA,11631.5285172815,NA,NA
84050.1279681495,NA,NA,11638.5710646479,NA,NA
65212.7033038223,NA,NA,12132.5235036066,NA,NA
54558.2859635066,NA,NA,12769.0897170705,NA,NA
76081.8384673521,NA,NA,8629.31797319589,NA,NA
55167.5277885445,NA,NA,10343.2711601452,NA,NA
54816.538612338,NA,NA,10978.6105299341,NA,NA
117822.590546157,NA,NA,10896.0632286249,NA,NA
88813.8868441707,NA,NA,14552.1139175011,NA,NA
97235.4165302417,NA,NA,10164.3716653359,NA,NA
58662.5513472572,NA,NA,10739.9606718042,NA,NA
90221.0236651684,NA,NA,12579.9539466486,NA,NA
